"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2105710";"SIMENEPAG ISOPROPYL";"AGN-210669|SIMENEPAG ISOPROPYL";"Small molecule";"2.0";"473.64";"";"";"5.64";"76.07";"6";"1";"1";"12";"N";"0.32";"None";"None";"5.37";"5.37";"2";"MOL";"0";"33";"6";"1";"1";"473.2236";"-0.49";"NEUTRAL";"C26H35NO5S";"CCCCC[C@H](O)c1ccc(N2C(=O)CC[C@@H]2COCc2ccc(C(=O)OC(C)C)s2)cc1";"MSIIJNOQQWRTFC-GGAORHGYSA-N"
"CHEMBL4802129";"BALIXAFORTIDE";"BALIXAFORTIDE|POL-6326|POL6326";"Protein";"3.0";"1864.15";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1862.8345";"None";"None";"C84H118N24O21S2";"C[C@@H]1NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CSSC[C@H](NC1=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N2";"MKXOUIKTXREBLX-NDKBASPVSA-N"
"CHEMBL4297279";"EC-17";"EC 17|EC-17|EC17 (FOLATE-FITC)|FOLATE-FITC|FOLATE-FLUORESCEIN CONJUGATE";"Small molecule";"2.0";"872.88";"";"";"3.03";"310.33";"15";"9";"3";"13";"N";"0.06";"3.60";"2.12";"2.06";"-1.13";"6";"MOL";"0";"63";"20";"11";"3";"872.2337";"-0.45";"ACID";"C42H36N10O10S";"NC(=O)CC[C@@H](C(=O)O)N(CCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)c1ccc(NCc2cnc3nc(N)[nH]c(=O)c3n2)cc1";"ZMTAPBHUSYTHBY-PMERELPUSA-N"
"CHEMBL1200688";"ERYTHROMYCIN ETHYLSUCCINATE";"ARPIMYCIN|E-MYCIN E|E-mycin|E.E.S. 200|E.E.S. 400|E.e.s.|ERYMIN|ERYTHRODEN|ERYTHROMYCIN ETHYL SUCCINATE|ERYTHROMYCIN ETHYLSUCCINATE|ERYTHROPED|ERYTHROPED A|ERYTHROPED FTE|ERYTHROPED FTE SF|ERYTHROPED PI|ERYTHROPED PI SF|ERYTHROPED SF|Eryped|NSC-756758|PEDIAMYCIN 400|PRIMACINE|Pediamycin|ROMMIX 125|STERILE ERYTHROMYCIN ETHYLSUCCINATE|WYAMYCIN E|Wyamycin";"Small molecule";"4.0";"862.06";"15";"1431";"2.68";"226.28";"17";"4";"2";"12";"N";"0.16";"12.68";"7.87";"3.37";"2.77";"0";"MOL";"0";"60";"17";"4";"2";"861.5086";"1.63";"NEUTRAL";"C43H75NO16";"CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C";"NSYZCCDSJNWWJL-YXOIYICCSA-N"
"CHEMBL4091374";"LANIFIBRANOR";"IVA-337|IVA337|LANIFIBRANOR";"Small molecule";"3.0";"434.93";"10";"83";"4.55";"89.26";"6";"1";"0";"6";"N";"0.48";"3.72";"1.64";"4.04";"0.74";"4";"MOL";"0";"28";"6";"1";"0";"434.0162";"-1.37";"ACID";"C19H15ClN2O4S2";"O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1";"OQDQIFQRNZIEEJ-UHFFFAOYSA-N"
"CHEMBL4298191";"SASANLIMAB";"PF-06801591|RN-888|SASANLIMAB";"Antibody";"3.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2107355";"MIGALASTAT HYDROCHLORIDE";"AT-1001 (MIGALASTAT HYDROCHLORIDE)|GALAFOLD|MIGALASTAT HCL|MIGALASTAT HYDROCHLORIDE";"Small molecule";"4.0";"199.63";"";"";"-2.97";"92.95";"5";"5";"0";"1";"N";"0.28";"12.91";"8.06";"-2.89";"-3.63";"0";"MOL";"0";"11";"5";"5";"0";"163.0845";"2.44";"NEUTRAL";"C6H14ClNO4";"Cl.OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O";"ZJIHMALTJRDNQI-OLALXQGDSA-N"
"CHEMBL2105738";"GALETERONE";"GALETERONE|Galeterone|TOK 001|TOK-001|VN 124|VN-124|VN/124|VN/124-1";"Small molecule";"3.0";"388.56";"23";"85";"5.81";"38.05";"3";"1";"1";"1";"N";"0.63";"None";"4.97";"4.47";"4.47";"2";"MOL";"0";"29";"3";"1";"1";"388.2515";"1.18";"NEUTRAL";"C26H32N2O";"C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(n3cnc4ccccc43)=CC[C@@H]12";"PAFKTGFSEFKSQG-PAASFTFBSA-N"
"CHEMBL2105763";"QUISINOSTAT";"JNJ 26481585|JNJ-26481585|QUISINOSTAT";"Small molecule";"2.0";"394.48";"34";"163";"2.09";"95.31";"7";"3";"0";"6";"N";"0.44";"8.69";"9.99";"0.69";"-0.39";"3";"MOL";"0";"29";"8";"3";"0";"394.2117";"-1.24";"BASE";"C21H26N6O2";"Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21";"PAWIYAYFNXQGAP-UHFFFAOYSA-N"
"CHEMBL157366";"MOSEDIPIMOD";"EC-18|MOSEDIPIMOD";"Small molecule";"2.0";"634.98";"1";"2";"11.30";"78.90";"6";"0";"2";"33";"N";"0.03";"None";"None";"12.61";"12.61";"0";"MOL";"0";"45";"6";"0";"2";"634.5172";"0.81";"NEUTRAL";"C39H70O6";"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(COC(C)=O)COC(=O)CCCCCCCCCCCCCCC";"GAKUNXBDVGLOFS-DUZKARGPSA-N"
